Country,Continent,Capital,Language,Currency,Domain,Driving Side,License Plate,Bollard,Chevron,Utility Pole,Curb,Guardrail,Lanes,Stop Sign,Pedestrian Sign,Direction Sign,Road Number,Road Sign,Sign/Traffic Post,Architecture,Landscape,Google Car,Follow Car,Street,Rift,Camera Generation,Miscellaneous
Botswana,Africa,Gaborone,english,,.bw,left,"white_front,yellow_rear",,white_on_red,,"black_white,black_yellow,white_red","type-A,","yellow_outer,white_center",,,green_background,"A,B","triangular,blue_background,red_border,two_bolts",black_yellow_striped,"grey_bricks,round_huts,middle_class_bungalows,impoverished_shacks","dry,flat,semi_arid_hills_covered_in_short_shrubs_near_Gaborone,red_soil_and_rocky_arid_east,white_dry_sandy_soil_midwest,power_line_to_west_northwest,green_leaves_and_tall_grass_northeast,red_asphalt_southwest_border","white,no_antenna",,,,3,blurs_on_urban_roads
Eswatini,Africa,Mbabane,english,,.sz,left,"long,green_bottom",,,"dark_brown_wood,insulators_on_sides,triple_insulators",,"type-A,white_red_reflectors","yellow_outer,white_center",,,green_background,MR,,,,"tall_golden_grass_west,pine_trees_west,greener_central_south,flat_southeast,sugar_canes_east","white,no_antenna",,,,3,concreate_bus_shelters
Ghana,Africa,Accra,english,,.gh,right,"white,yellow_commercial",,,,,,white,,,,,blue_background,black_white_striped,,"savannah_north,mountains_southeast,dense_forests_south_and_east,palm_trees_southwest,red_soil_central_east,mountains_central",black_tape_on_roof_rack,multicoloured_taxis,multicoloured_taxis,,3,
Kenya,Africa,Nairobi,english,,.ke,left,"long_white_front,square_yellow_rear",,,,,,"solid_white_outer,yellow_center",,,"green_background,white_border",,"triangular,white_background,red_border,four_bolts",,"rusty_metal_roofs,plaster,bricks","light_orange_soil_southeast,white_sandy_soil_and_palm_trees_Mombasa,farms_and_grassy_hills_west,flat_tan_soil_sparse_low_trees_northwest,succulents_southeast",snorkel,,,,"3,4","safaricom_mobile_network,visible_county_names"
Lesotho,Africa,Maseru,english,,.ls,left,long_white_blue_text,,white_on_red,,,,"yellow_outer,white_center",,,"green_background,white_border","A,B","triangular,white_background,red_border",,"round_huts,thatched_roofs","barren_mountains,horizontal_rocky_ridgelines,agave_plants,short_grass,flat_north,mountains_south",white_rear,,,,3,basotho_woollen_blanket
Madagascar,Africa,Antananarivo,french,,.mg,right,,,,,,,,,,,,,,,baobabs_west,,,,,trekker,
Nigeria,Africa,Abuja,english,,.ng,right,"short,white,green_text",,multiple_red_on_white,"indents,brazilian_horizontal_supports",,,"white,yellow_rare",,,,,"triangular,white_background,yellow_background,red_border,arrow_Abuja,rectangular_Ibadan,multiple_colors_Enugu,rusty_Benin_City",black_white_striped,steeply_pitched_metal_roofs,"haystacks_central,corn_field_north,green_grass_red_soil_southeast,scattered_trees_dry_grass_red_soil_west,dry_treeless_northwest,savannah_rocky_hills_central_east,hills_Abuja","pickup_truck,white,red,roof_rack_yellow_black_striped","white_police_car_south,black_police_car_north","poor_quality_roads,yellow_taxis_Lagos,green_taxis_Abuja,blue_white_taxis_Asaba,red_white_taxis_Ibadan,yellow_taxis_lower_black_lines_Enugu",,"3,4,shitcam","visible_city_names,south_christianity,north_islam"
Reunion,Africa,Saint Denis,french,,.re,right,"white,yellow","french_bollards,black_Saint_Paul,green_Saint_Denis",white_on_blue,french_poles,,,,,5_stripes,,,french_signs,,,"sugarcane_northeast_southwest,mountains_central,red_soil_and_shrubs_southeast","roof_rack,black_tape_bottom_right_bar",,,,3,
Rwanda,Africa,Kigali,"english,french",,.rw,right,"white_front,yellow_rear",red_on_white,,,black_white,,"white_outer,yellow_center",,,,,"triangular,white_background,red_border",,"security_fences,cobblestone_pavement_Butare","hilly,red_soil,tea_plants_west,volcanoes_northwest","white,brown,black_pickup_truck","clean,red_vest_motorcyclist","clean,red_vest_motorcyclist",,4,
Sao Tome Principe,Africa,Sao Tome,portuguese,,.st,right,,,,"portuguese,blue_bottom",,,,,portuguese,,,portuguese,,,"rainforests,banana_plants",blurred_out,,,,shitcam,
